-4,93127;-30;-84,1529;-195,6;-362,069;-569,379;-793,251;-1003;-1166,49;-1255,52;-1250,68;-1144,89;-944,985;-671;-353,377;-28,4209;267,16;501,751;653,44;713;684,733;585,095;439,338;276,8;125,646;8;-63,7098;-88,5507;-76,7468;-47,2765;1
9,3569;6,7987;8,7888;7,3697;-4,7599;28,6213;12,4919;13,7038;-27,8334;-10,2224;20,3731;1,9640;7,0309;16,7519;36,5831;10,5085;-23,2501;-10,6394;0,9665;3,4388;13,6058;-18,4675;-1,2818;11,6383;9,8404;25,6006;32,5417;8,0894;-3,4441;-24,1422;0
-32,2981;36;-24,1788;-144,852;-322,731;-542,425;-778,431;-999;-1171,23;-1266,51;-1265,46;-1161,35;-961,612;-687;-368,599;-43,1754;252,386;486,61;638,015;698;671,559;575,748;436,191;282,252;141,73;36;-23,5547;-37,2097;-16,3893;18,9108;1
41,2451;18;-49,3983;-179,232;-365,914;-591,756;-829,393;-1046;-1208,61;-1289,61;-1271,52;-1150,12;-935,552;-651;-329,317;-8,04399;276,285;493,632;624,81;664;619,017;509,323;362,15;207,432;72,4304;-23;-69,6922;-70,4318;-39,0005;2,81499;1
3,2459;6,2985;-3,3138;-7,6785;11,2948;-24,1471;-28,8440;5,0657;-2,1997;-11,8438;4,0025;-9,5796;-5,1163;-15,4937;24,8191;-18,6451;-13,5441;-29,5509;6,0307;-38,4657;-3,9055;-46,0697;13,9792;-21,4981;-9,6510;-6,3427;2,1957;8,6814;2,7019;8,9967;0
-11,8235;-20;-80,2302;-196,122;-365,419;-574,388;-799,51;-1011;-1177,56;-1271,54;-1273,71;-1176,67;-986,466;-722;-412,381;-92,6125;201,648;439,395;598,771;670;656,306;572,67;442,696;294,122;153,8;43;-26,1381;-52,3949;-45,2143;-22,459;1
49,5299;0,7381;-21,4056;-19,4411;12,8928;19,8733;-11,3364;-1,9614;19,8222;-1,2033;1,3777;3,3774;-33,5982;14,5215;3,7014;20,5494;10,0959;26,7143;11,7714;-1,7303;19,9141;20,3619;6,3475;2,4738;46,1082;17,7719;17,3953;-11,2466;-11,5146;-18,5619;0
-49;-98,5167;-205,087;-367,177;-571,152;-793,001;-1002;-1165,69;-1255,33;-1250,87;-1144,66;-943,073;-666;-344,01;-13,8482;287,096;526,394;681,328;742;712,312;608,656;456,59;286,087;126,187;-1,13687e-13;-79,0955;-109,394;-100,638;-71,6739;-46,4405;1
-1,5896;-20,0259;-34,4270;19,6989;21,2349;17,1501;-9,2681;-18,9845;-10,1230;13,7544;-5,6385;-10,4561;-20,6270;14,2283;-6,3859;6,1418;-0,8955;40,9115;-8,0911;-16,6805;-2,1966;26,1083;20,2372;-32,2049;29,1326;-1,0165;40,1608;-5,7627;-24,7292;10,1090;0
-2,0055;44,1944;2,4861;-14,1098;-29,2363;23,0182;27,6373;-17,4256;0,7068;11,6432;13,1106;10,5189;-37,5964;13,4869;7,5220;39,2932;30,2733;4,7594;8,0108;-4,1351;-9,0314;-53,8118;22,7467;-4,7900;4,6729;-19,8567;-33,1637;-3,3618;42,2522;-15,7719;0
-7,93207;3;-38,8335;-142,366;-305,976;-515,509;-746,104;-966;-1141,67;-1243,42;-1250,49;-1154,81;-962,641;-694;-379,735;-56,8915;236,941;469,333;617,817;673;639,474;534,407;384,075;218,966;68,3108;-45;-108,237;-120,733;-93,5494;-46,984;1
